State,Abbreviation,Democratic,Republican
Alabama,AL,693933,1176394
Alaska,AK,111025,190889
Arizona,AZ,893524,1104294
Arkansas,AR,469953,572898
California,CA,6745485,5509826
Colorado,CO,1001732,1101255
Connecticut,CT,857488,693826
Delaware,DE,200152,171660
District of Columbia,DC,202970,21256
Florida,FL,3583544,3964522
Georgia,GA,1366149,1914254
Hawaii,HI,231708,194191
Idaho,ID,181098,409235
Illinois,IL,2891550,2345946
Indiana,IN,969011,1479438
Iowa,IA,741898,751957
Kansas,KS,434993,736456
Kentucky,KY,712733,1069439
Louisiana,LA,820299,1102169
Maine,ME,396842,330201
Maryland,MD,1334493,1024703
Massachusetts,MA,1803800,1071109
Michigan,MI,2479183,2313746
Minnesota,MN,1445014,1346695
Mississippi,MS,458094,684981
Missouri,MO,1259171,1455713
Montana,MT,173710,266063
Nebraska,NE,254328,512814
Nevada,NV,397190,418690
New Hampshire,NH,340511,331237
New Jersey,NJ,1911430,1670003
New Mexico,NM,370942,376930
New York,NY,4314280,2962567
North Carolina,NC,1525849,1961166
North Dakota,ND,111052,196651
Ohio,OH,2741167,2859768
Oklahoma,OK,503966,959792
Oregon,OR,943163,866831
Pennsylvania,PA,2938095,2793847
Rhode Island,RI,259765,169046
South Carolina,SC,661699,937974
South Dakota,SD,149244,232584
Tennessee,TN,1036477,1384375
Texas,TX,2832704,4526917
Utah,UT,241199,663742
Vermont,VT,184067,121180
Virginia,VA,1454742,1716959
Washington,WA,1510201,1304894
West Virginia,WV,326541,423778
Wisconsin,WI,1489504,1478120
Wyoming,WY,70776,167629
