State,Abbreviation,Democratic,Republican
Alabama,AL,795696,1255925
Alaska,AK,122640,164676
Arizona,AZ,1025232,1233654
Arkansas,AR,394409,647744
California,CA,7854285,4839958
Colorado,CO,1323101,1185243
Connecticut,CT,905083,634892
Delaware,DE,242584,165484
District of Columbia,DC,267070,21381
Florida,FL,4237756,4163447
Georgia,GA,1773827,2078688
Hawaii,HI,306658,121015
Idaho,ID,212787,420911
Illinois,IL,3019512,2135216
Indiana,IN,1152887,1420543
Iowa,IA,822544,730617
Kansas,KS,440726,692634
Kentucky,KY,679370,1087190
Louisiana,LA,809141,1152262
Maine,ME,401306,292276
Maryland,MD,1677844,971869
Massachusetts,MA,1921290,1188314
Michigan,MI,2564569,2115256
Minnesota,MN,1546167,1320225
Mississippi,MS,562949,710746
Missouri,MO,1223796,1482440
Montana,MT,201839,267928
Nebraska,NE,302081,475064
Nevada,NV,531373,463567
New Hampshire,NH,369561,329918
New Jersey,NJ,2125101,1477568
New Mexico,NM,415335,335788
New York,NY,4485741,2490431
North Carolina,NC,2178391,2270395
North Dakota,ND,124827,188163
Ohio,OH,2827710,2661433
Oklahoma,OK,443547,891325
Oregon,OR,970488,754175
Pennsylvania,PA,2990274,2680434
Rhode Island,RI,279677,157204
South Carolina,SC,865941,1071645
South Dakota,SD,145039,210610
Tennessee,TN,960709,1462330
Texas,TX,3308124,4569843
Utah,UT,251813,740600
Vermont,VT,199239,92698
Virginia,VA,1971820,1822522
Washington,WA,1755396,1290670
West Virginia,WV,238269,417655
Wisconsin,WI,1620985,1407966
Wyoming,WY,69286,170962
