Day,Len,State,EV,Dem,GOP,Ind,Date,,,,,,,,Pollster
242.0,21,Alabama,9,42,51,,Sep 08,,,,,,,,Ipsos-21
235.0,21,Alabama,9,39,52,,Sep 01,,,,,,,,Ipsos-21
233.5,24,Alabama,9,31,53,08,Sep 01,,,,,,,,SurveyMonkey-24
137.0,31,Alabama,9,33,52,,May 31,,,,,,,,Morning Consult-31
 46.0,29,Alabama,9,31,53,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Alabama,9,38,61,,Jan 01,,,,,,,,Election 2012-1
233.5,24,Alaska,3,31,38,19,Sep 01,,,,,,,,SurveyMonkey-24
137.0,31,Alaska,3,32,53,,May 31,,,,,,,,Morning Consult-31
 46.0,29,Alaska,3,33,48,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Alaska,3,42,55,,Jan 01,,,,,,,,Election 2012-1
251.0,3,Arizona,11,38,40,12,Sep 08,,,,,,,,Marist Coll.-3
245.5,14,Arizona,11,40,46,,Sep 08,,,,,,,,Ipsos-14
240.0,1,Arizona,11,40,44,08,Aug 27,,,,,,,,Gravis-1
240.0,3,Arizona,11,43,46,,Aug 28,,,,,,,,PPP-3
239.0,3,Arizona,11,40,39,07,Aug 27,,,,,,,,OH Predictive Insights-3
238.5,14,Arizona,11,41,45,,Sep 01,,,,,,,,Ipsos-14
237.0,15,Arizona,11,35,34,07,Aug 31,,,,,,,,Behavior Research Center-15
233.5,6,Arizona,11,38,45,12,Aug 23,,,,,,,,Opinion Research-6
233.5,24,Arizona,11,37,39,13,Sep 01,,,,,,,,SurveyMonkey-24
216.5,4,Arizona,11,42,44,05,Aug 05,,,,,,,,YouGov-4
214.0,1,Arizona,11,45,42,04,Aug 01,,,,,,,,OH Predictive Insights-1
174.5,2,Arizona,11,40,44,,Jun 23,,,,,,,,PPP-2
172.0,1,Arizona,11,47,42,,Jun 20,,,,,,,,OH Predictive Insights-1
137.0,31,Arizona,11,38,46,,May 31,,,,,,,,Morning Consult-31
135.0,3,Arizona,11,38,40,,May 15,,,,,,,,PPP-3
 98.5,8,Arizona,11,42,35,,Apr 11,,,,,,,,Behavior Research Center-8
 69.0,5,Arizona,11,38,38,,Mar 11,,,,,,,,Merrill/West Group-5
 46.0,29,Arizona,11,39,46,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Arizona,11,44,54,,Jan 01,,,,,,,,Election 2012-1
255.0,5,Arkansas,6,29,57,05,Sep 13,,,,,,,,Emerson Coll.-5
242.0,21,Arkansas,6,41,50,,Sep 08,,,,,,,,Ipsos-21
235.0,21,Arkansas,6,42,48,,Sep 01,,,,,,,,Ipsos-21
233.5,24,Arkansas,6,37,46,11,Sep 01,,,,,,,,SurveyMonkey-24
173.0,1,Arkansas,6,36,47,,Jun 21,,,,,,,,Hendrix Coll.-1
137.0,31,Arkansas,6,37,47,,May 31,,,,,,,,Morning Consult-31
 46.0,29,Arkansas,6,38,47,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Arkansas,6,37,61,,Jan 01,,,,,,,,Election 2012-1
253.5,4,California,55,57,32,03,Sep 11,,,,,,,,SurveyUSA-4
249.0,7,California,55,60,32,,Sep 08,,,,,,,,Ipsos-7
248.5,8,California,55,49,29,11,Sep 08,,,,,,,,Los Angeles Times-8
248.5,8,California,55,49,29,11,Sep 08,,,,,,,,SurveyMonkey-8
242.0,7,California,55,63,24,,Sep 01,,,,,,,,Ipsos-7
233.5,24,California,55,49,28,12,Sep 01,,,,,,,,SurveyMonkey-24
196.5,10,California,55,46,30,07,Jul 19,,,,,,,,Public Policy Inst. of Calif.-10
172.0,25,California,55,50,26,10,Jul 02,,,,,,,,Field Poll-25
153.5,4,California,55,48,33,,Jun 03,,,,,,,,YouGov-4
151.0,3,California,55,55,31,,May 31,,,,,,,,Marist Coll.-3
149.5,6,California,55,53,34,,May 31,,,,,,,,Field Poll-6
146.0,13,California,55,56,30,,May 31,,,,,,,,LA Times-13
141.5,4,California,55,52,38,,May 22,,,,,,,,SurveyUSA-4
138.5,10,California,55,49,39,,May 22,,,,,,,,Public Policy Inst. of Calif.-10
137.0,31,California,55,52,32,,May 31,,,,,,,,Morning Consult-31
131.0,13,California,55,45,33,04,May 16,,,,,,,,Hoover Institution-13
119.5,4,California,55,56,34,,Apr 30,,,,,,,,SurveyUSA-4
 92.0,5,California,55,60,26,,Apr 03,,,,,,,,SurveyUSA-5
 89.5,12,California,55,59,31,,Apr 04,,,,,,,,Field Poll-12
 79.5,8,California,55,57,30,,Mar 23,,,,,,,,LA Times-8
 46.0,29,California,55,53,32,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,California,55,59,38,,Jan 01,,,,,,,,Election 2012-1
255.0,5,Colorado,9,38,42,13,Sep 13,,,,,,,,Emerson Coll.-5
245.5,14,Colorado,9,40,43,,Sep 08,,,,,,,,Ipsos-14
235.0,21,Colorado,9,45,39,,Sep 01,,,,,,,,Ipsos-21
233.5,24,Colorado,9,37,37,16,Sep 01,,,,,,,,SurveyMonkey-24
225.5,8,Colorado,9,41,33,16,Aug 16,,,,,,,,Quinnipiac U.-8
220.0,7,Colorado,9,41,29,15,Aug 10,,,,,,,,Marist Coll.-7
192.5,4,Colorado,9,37,28,13,Jul 12,,,,,,,,Anderson Robbins + Shaw-4
192.5,4,Colorado,9,48,35,05,Jul 12,,,,,,,,Monmouth U.-4
190.0,7,Colorado,9,39,33,13,Jul 11,,,,,,,,Marist Coll.-7
