Past President Election Polls,,2000,,2004,,2008,,2012,
State,Abbreviation,Democratic,Republican,Democratic,Republican,Democratic,Republican,Democratic,Republican
Alabama,AL,692611,941173,693933,1176394,813479,1266546,795696,1255925
Alaska,AK,79004,167398,111025,190889,123594,193841,122640,164676
Arizona,AZ,685341,781652,893524,1104294,1034707,1230111,1025232,1233654
Arkansas,AR,422768,472940,469953,572898,422310,638017,394409,647744
California,CA,5861203,4567429,6745485,5509826,8274473,5011781,7854285,4839958
Colorado,CO,738227,883748,1001732,1101255,1288633,1073629,1323101,1185243
Connecticut,CT,816015,561094,857488,693826,997772,629428,905083,634892
Delaware,DE,180068,137288,200152,171660,255459,152374,242584,165484
District of Columbia,DC,171923,18073,202970,21256,245800,17367,267070,21381
Florida,FL,2912253,2912790,3583544,3964522,4282074,4045624,4237756,4163447
Georgia,GA,1116230,1419720,1366149,1914254,1844123,2048759,1773827,2078688
Hawaii,HI,205286,137845,231708,194191,325871,120566,306658,121015
Idaho,ID,138637,336937,181098,409235,236440,403012,212787,420911
Illinois,IL,2589026,2019421,2891550,2345946,3419348,2031179,3019512,2135216
Indiana,IN,901980,1245836,969011,1479438,1374039,1345648,1152887,1420543
Iowa,IA,638517,634373,741898,751957,828940,682379,822544,730617
Kansas,KS,399276,622332,434993,736456,514765,699655,440726,692634
Kentucky,KY,638898,872492,712733,1069439,751985,1048462,679370,1087190
Louisiana,LA,792344,927871,820299,1102169,782989,1148275,809141,1152262
Maine,ME,319951,286616,396842,330201,421923,295273,401306,292276
Maryland,MD,1145782,813797,1334493,1024703,1629467,959862,1677844,971869
Massachusetts,MA,1616487,878502,1803800,1071109,1904097,1108854,1921290,1188314
Michigan,MI,2170418,1953139,2479183,2313746,2872579,2048639,2564569,2115256
Minnesota,MN,1168266,1109659,1445014,1346695,1573354,1275409,1546167,1320225
Mississippi,MS,404614,572844,458094,684981,554662,724597,562949,710746
Missouri,MO,1111138,1189924,1259171,1455713,1441911,1445814,1223796,1482440
Montana,MT,137126,240178,173710,266063,231667,242763,201839,267928
Nebraska,NE,231780,433862,254328,512814,333319,452979,302081,475064
Nevada,NV,279978,301575,397190,418690,533736,412827,531373,463567
New Hampshire,NH,266348,273559,340511,331237,384826,316534,369561,329918
New Jersey,NJ,1788850,1284173,1911430,1670003,2215422,1613207,2125101,1477568
New Mexico,NM,286783,286417,370942,376930,472422,346832,415335,335788
New York,NY,4107697,2403374,4314280,2962567,4804945,2752771,4485741,2490431
North Carolina,NC,1257692,1631163,1525849,1961166,2142651,2128474,2178391,2270395
North Dakota,ND,95284,174852,111052,196651,141278,168601,124827,188163
Ohio,OH,2186190,2351209,2741167,2859768,2940044,2677820,2827710,2661433
Oklahoma,OK,474276,744337,503966,959792,502496,960165,443547,891325
Oregon,OR,720342,713577,943163,866831,1037291,738475,970488,754175
Pennsylvania,PA,2485967,2281127,2938095,2793847,3276363,2655885,2990274,2680434
Rhode Island,RI,249508,130555,259765,169046,296571,165391,279677,157204
South Carolina,SC,565561,785937,661699,937974,862449,1034896,865941,1071645
South Dakota,SD,118804,190700,149244,232584,170924,203054,145039,210610
Tennessee,TN,981720,1061949,1036477,1384375,1087437,1479178,960709,1462330
Texas,TX,2433746,3799639,2832704,4526917,3528633,4479328,3308124,4569843
Utah,UT,203053,515096,241199,663742,327670,596030,251813,740600
Vermont,VT,149022,119775,184067,121180,219262,98974,199239,92698
Virginia,VA,1217290,1437490,1454742,1716959,1959532,1725005,1971820,1822522
Washington,WA,1247652,1108864,1510201,1304894,1750848,1229216,1755396,1290670
West Virginia,WV,295497,336475,326541,423778,303857,397466,238269,417655
Wisconsin,WI,1242987,1237279,1489504,1478120,1677211,1262393,1620985,1407966
Wyoming,WY,60481,147947,70776,167629,82868,164958,69286,170962
